Date,From,To,Flight_Number,Airline,Distance,Duration,Seat,Seat_Type,Class,Reason,Plane,Registration,Trip,Note,From_OID,To_OID,Airline_OID,Plane_OID
2014-11-04 20:25:00,FRA,VKO,LH1472,Lufthansa (LH/DLH),,02:31:00,,2,1,1,Airbus A320 (A320),D-AIZO,,,,,,
2014-10-31 19:29:00,VKO,FRA,LH1471,Lufthansa (LH/DLH),,02:39:00,,1,1,1,Airbus A321 (A321),D-AISB,,,,,,
2014-10-12 23:53:00,BUD,VKO,W62491,Wizz Air (W6/WZZ),,02:05:00,,0,1,1,Airbus A320 (A320),HA-LWR,,,,,,
2014-10-11 11:34:00,VKO,BUD,W62490,Wizz Air (W6/WZZ),,02:15:00,,3,1,2,Airbus A320 (A320),HA-LWR,,,,,,
2014-09-07 22:20:00,SIP,SVO,UN2218,Transaero Airlines (UN/TSO),,00:16:00,24A,1,1,1,Boeing 747 (B747),EI-XLE,,,,,,
2014-08-24 08:06:00,DME,SIP,NN343,VIM Airlines (NN/MOV),,02:03:00,,1,1,1,Boeing 757 (B757),RA-73009,,,,,,
2014-08-03 23:13:00,IST,VKO,THY419,Turkish Airlines (TK/THY),,02:24:00,,1,1,1,Boeing 737 (B73X),TC-JVF,,,,,,
2014-08-01 21:44:00,VKO,IST,THY416,Turkish Airlines (TK/THY),,02:33:00,,1,1,1,Boeing 737 (B73X),TC-JHE,,,,,,
2014-07-20 19:26:00,AER,DME,UN132,Transaero Airlines (UN/TSO),,01:56:00,,1,1,1,Boeing 737 (B73X),EI-DDK,,,,,,
2014-07-19 10:29:00,DME,AER,UN141,Transaero Airlines (UN/TSO),,02:14:00,,1,1,1,Boeing 737 (B73X),EI-DTV,,,,,,
2014-06-15 07:26:00,LGW,DME,EZY8401,Easyjet (U2/EZY),,03:29:00,,1,1,1,Airbus A320 (A320),G-EZWF,,,,,,
2014-06-14 20:15:00,ORK,LGW,FR9852,Ryanair (FR/RYR),,00:55:00,,1,1,1,Boeing 737 (B73X),EI-DHR,,,,,,
2014-06-12 12:12:00,VNO,ORK,FR8867,Ryanair (FR/RYR),,03:21:00,,3,1,1,Boeing 737 (B73X),EI-DHR,,,,,,
2014-05-18 13:07:00,SIP,DME,UN218,Transaero Airlines (UN/TSO),,02:21:00,,1,1,1,Boeing 737 (B73X),EI-CZK,,,,,,
2014-05-17 06:22:00,DME,SIP,UN217,Transaero Airlines (UN/TSO),,02:03:00,16A,1,1,1,Boeing 737 (B73X),EI-CZK,,,,,,
2014-05-11 07:03:00,MAN,DME,EZY1871,Easyjet (U2/EZY),,00:37:00,9A,1,1,1,Airbus A320 (A320),G-EZUR,,,,,,
2014-05-06 11:38:00,EDI,LHR,VS3004,Virgin Atlantic (VS/VIR),,01:03:00,5F,1,1,1,Airbus A320 (A320),EIDEI,,,,,,
2014-04-30 15:41:00,DME,MAN,EZY1872,Easyjet (U2/EZY),,03:46:00,,1,1,1,Airbus A319 (A319),,,,,,,
2014-04-07 18:03:00,DXB,DME,EK131,Emirates (EK/UAE),,04:43:00,,0,1,1,Airbus A380 (A380),A6-EES,,,,,,
2014-04-07 10:18:00,CMB,DXB,EK651,Emirates (EK/UAE),,04:37:00,,1,1,1,Boeing 777 (B777),A6-ECB,,,,,,
2014-03-31 01:27:00,DOH,CMB,QTR658,Qatar Airways (QR/QTR),,03:58:00,,1,1,1,Airbus A321 (A321),A7-AIA,,,,,,
2014-03-30 23:55:00,AUH,DOH,QTR1049,Qatar Airways (QR/QTR),,01:04:00,,0,1,1,Airbus A321 (A321),A7-ADK,,,,,,
2014-03-30 17:10:00,DME,AUH,EY68,Etihad Airways (EY/ETD),,04:28:00,,1,1,1,Airbus A330 (A330),A6-EYA,,,,,,
2014-03-10 13:48:00,MAN,DME,EZY1871,Easyjet (U2/EZY),,03:22:00,14A,1,1,1,Airbus A319 (A319),G-EZGI,,,,,,
2014-03-09 06:44:00,DUB,MAN,FR552,Ryanair (FR/RYR),,00:42:00,,1,1,1,Boeing 737 (B73X),EI-DAI,,,,,,
2014-03-08 08:06:00,MAN,DUB,FR553,Ryanair (FR/RYR),,00:41:00,,1,1,1,Boeing 737 (B73X),EI-DYD,,,,,,
2014-03-07 22:37:00,DME,MAN,EZY1872,Easyjet (U2/EZY),,03:43:00,20F,1,1,1,Airbus A320 (A320),G-EZTM,,,,,,
2014-01-24 19:05:00,IEV,DME,UN2247,Transaero Airlines (UN/TSO),,01:38:00,14A,1,1,0,Boeing 737 (B73X),EI-UNG,,Нет окна,,,,
2014-01-08 07:00:00,LGW,DME,EZY8401,Easyjet (U2/EZY),,03:40:00,7A,0,1,1,Airbus A320 (A320),G-EZTE,,,,,,
2014-01-07 18:25:00,CTA,LGW,EZY8568,Easyjet (U2/EZY),,02:58:00,,0,1,1,Airbus A319 (A319),G-EZFU,,,,,,
2013-12-28 14:50:00,LGW,PMO,EZY5245,Easyjet (U2/EZY),,02:30:00,,1,1,1,Airbus A319 (A319),G-EZFW,,,,,,
2013-12-27 21:55:00,DME,LGW,EZY8404,Easyjet (U2/EZY),,04:05:00,7A,1,1,1,Airbus A320 (A320),G-EZUJ,,,,,,
2013-10-31 12:20:00,ZRH,DME,LX1326,Swiss International Airlines (LX/SWR),,03:14:00,,0,1,1,Airbus A321 (A321),HB-IOH,,,,,,
2013-10-30 20:15:00,CUN,ZRH,WK24,Edelweiss Air (8R/EDW),,15:30:00,,0,1,1,Airbus A330-300 (A333),HB-JHQ,,,,,,
2013-10-30 17:20:00,VRA,CUN,WK24,Edelweiss Air (8R/EDW),,01:15:00,,0,1,1,Airbus A330-300 (A333),HB-JHQ,,,,,,
2013-10-22 09:42:00,ZRH,VRA,WK24,Edelweiss Air (8R/EDW),,11:33:00,,3,1,1,Airbus A330-300 (A333),HB-JHQ,,,,,,
2013-10-21 18:45:00,DME,ZRH,LX1327,Swiss International Airlines (LX/SWR),,03:27:00,,1,1,1,Airbus A321 (A321),HB-IOL,,,,,,
2013-09-29 11:15:00,BUD,VKO,W62489,Wizz Air (W6/WZZ),,02:15:00,,1,1,1,Airbus A320 (A320),HA-LWO,,,,,,
2013-09-27 16:20:00,VKO,BUD,W62490,Wizz Air (W6/WZZ),,02:10:00,,2,1,1,Airbus A320 (A320),HA-LPU,,,,,,
2013-05-04 08:50:00,KHV,SVO,SU1715,Aeroflot (SU/AFL),,08:08:00,27A,1,1,1,Boeing 767 (B767),VP-BAY,,,,,,
2013-05-04 08:10:00,VVO,KHV,XF4612,Vladivostok Air (XF/VLK),,01:00:00,,0,1,1,Airbus A320 (A320),VQ-BHS,,,,,,
2013-05-01 23:35:00,KJA,KHV,XF4641,Vladivostok Air (XF/VLK),,04:11:00,,0,1,1,Tupolev TU-204 (T204),RA-64044,,,,,,
2013-05-01 09:00:00,KHV,VVO,XF4641,Vladivostok Air (XF/VLK),,01:05:00,,0,1,1,Tupolev TU-204 (T204),RA-64044,,,,,,
2013-04-30 23:50:00,SVO,KJA,SU1482,Aeroflot (SU/AFL),,04:10:00,,0,1,1,Airbus A320 (A320),VP-BRZ,,,,,,
2013-04-28 23:50:00,VCE,SVO,SU2423,Aeroflot (SU/AFL),,03:00:00,,0,1,1,Airbus A321 (A321),VQ-BEE,,,,,,
2013-04-26 20:50:00,SVO,VCE,SU2422,Aeroflot (SU/AFL),,03:00:00,8A,1,1,1,Airbus A320 (A320),VP-BID,,,,,,
2013-04-01 06:35:00,FRU,SVO,SU1883,Aeroflot (SU/AFL),,03:15:00,8A,1,1,1,Airbus A321 (A321),VP-BWD,,,,,,
2013-03-29 23:20:00,SVO,FRU,SU1882,Aeroflot (SU/AFL),,05:00:00,21E,3,1,1,Airbus A321 (A321),VP-BUM,,,,,,
2013-03-17 21:35:00,TXL,DME,AB8353,Air Berlin (AB/BER),,02:30:00,18F,1,1,1,Airbus A320 (A320),D-ABNA,,,,,,
2013-03-15 18:40:00,DME,TXL,AB8353,Air Berlin (AB/BER),,02:32:00,23A,1,1,1,Airbus A320 (A320),D-ABDQ,,,,,,
2013-03-10 18:45:00,FRA,VKO,LH1472,Lufthansa (LH/DLH),,03:00:00,20F,2,1,1,Airbus A319 (A319),D-AILD,,,,,,
2013-03-08 09:20:00,VKO,FRA,LH1473,Lufthansa (LH/DLH),,03:33:00,18E,1,1,1,Airbus A319 (A319),D-AILF,,,,,,
2013-02-25 21:31:00,TXL,DME,AB8356,Air Berlin (AB/BER),,02:39:00,20A,1,1,1,Airbus A320 (A320),D-ABFG,,,,,,
2013-02-25 19:20:00,MUC,TXL,AB6202,Air Berlin (AB/BER),,00:51:00,27F,1,1,1,Boeing 737 (B73X),D-ABMK,,,,,,
2013-02-22 17:30:00,DME,MUC,AB8283,Air Berlin (AB/BER),,03:10:00,10F,1,1,1,Airbus A320 (A320),D-ABDU,,,,,,
2013-01-13 12:50:00,PVG,SVO,SU209,Aeroflot (SU/AFL),,09:30:00,30A,1,1,1,Airbus A330-300 (A333),VQ-BPJ,,,,,,
2013-01-11 20:40:00,MNL,PVG,5J678,Cebu Pacific (5J/CEB),,02:48:00,,0,1,1,Airbus A320 (A320),RP-C3245,,,,,,
2013-01-07 23:00:00,KLO,MNL,5J530,Cebu Pacific (5J/CEB),,01:15:00,11C,3,1,1,ATR 72 (AT7X),RP-C7257,,,,,,
2012-12-31 12:05:00,MNL,MPH,5J899,Cebu Pacific (5J/CEB),,01:10:00,,0,1,1,ATR 72 (AT7X),,,,,,,
2012-12-31 00:30:00,PVG,MNL,5J679,Cebu Pacific (5J/CEB),,03:30:00,,0,1,1,Airbus A320 (A320),RP-C3264,,,,,,
2012-12-29 22:00:00,SVO,PVG,SU208,Aeroflot (SU/AFL),,08:30:00,,0,1,1,Boeing 767-300ER (B763),VP-BWX,,,,,,
2012-11-05 17:05:00,RIX,SVO,BT422,AirBaltic (BT/BTI),,01:32:00,,0,1,1,Boeing 737 (B73X),YL-BBX,,,,,,
2012-11-04 17:20:00,LIN,RIX,BT630,AirBaltic (BT/BTI),,02:31:00,,0,1,1,Boeing 737 (B73X),YL-BBX,,,,,,
2012-10-31 22:15:00,CUN,ZRH,WK24,Edelweiss Air (8R/EDW),,09:15:00,,0,1,1,Airbus A330-300 (A333),HB-JHQ,,,,,,
2012-10-31 19:20:00,VRA,CUN,WK24,Edelweiss Air (8R/EDW),,01:15:00,,0,1,1,Airbus A330-300 (A333),HB-JHQ,,,,,,
2012-10-17 09:20:00,ZRH,VRA,WK24,Edelweiss Air (8R/EDW),,12:40:00,,0,1,1,Airbus A330-300 (A333),HB-JHQ,,,,,,
2012-10-16 14:30:00,DME,ZRH,LX1327,Swiss International Airlines (LX/SWR),,03:30:00,,0,1,1,Airbus A320 (A320),HB-IJQ,,,,,,
2012-09-09 19:10:00,SIP,SVO,SU1825,Aeroflot (SU/AFL),,02:02:00,16A,1,1,1,Airbus A321 (A321),VP-BQX,,,,,,
2012-08-31 22:00:00,SVO,SIP,SU1826,Aeroflot (SU/AFL),,01:50:00,,1,1,1,Airbus A320 (A320),VP-BME,,,,,,
2012-07-28 18:45:00,AER,SVO,SU1125,Aeroflot (SU/AFL),,02:00:00,17F,1,1,1,Airbus A320 (A320),VP-BDK,,,,,,
2012-07-28 08:50:00,SVO,AER,SU1120,Aeroflot (SU/AFL),,02:15:00,17F,1,1,1,Airbus A320 (A320),VQ-BIV,,,,,,
2012-06-12 18:25:00,TLL,SVO,OV303,Estonian Air (OV/ELL),,01:50:00,10F,1,1,1,Boeing 737 (B73X),ES-ABL,,,,,,
2012-06-10 16:55:00,SVO,TLL,OV304,Estonian Air (OV/ELL),,01:40:00,7A,1,1,1,Embraer ERJ-170 (E170),ES-AEB,,,,,,
2012-05-20 16:50:00,KBP,SVO,SU1804,Aeroflot (SU/AFL),,01:30:00,11E,1,1,1,Airbus A321 (A321),VP-BWN,,,,,,
2012-05-19 09:50:00,SVO,KBP,SU1804,Aeroflot (SU/AFL),,01:40:00,20A,1,1,1,Airbus A321 (A321),VQ-BOI,,,,,,
2012-05-06 22:20:00,FCO,SVO,AZ596,Alitalia (AZ/AZA),,03:12:00,10F,1,1,1,Airbus A321 (A321),EI-IXU,,,,,,
2012-05-06 11:30:00,FLR,FCO,AZ1678,Alitalia (AZ/AZA),,00:45:00,,1,1,1,Airbus A319 (A319),EI-IMJ,,,,,,
2012-04-29 10:10:00,FCO,PSA,AZ1675,Alitalia (AZ/AZA),,01:00:00,,1,1,1,Airbus A319 (A319),EI-IMI,,,,,,
2012-04-29 05:50:00,SVO,FCO,AZ595,Alitalia (AZ/AZA),,03:46:00,,1,1,1,Airbus A321 (A321),I-BIXN,,,,,,
2012-03-13 16:07:00,MCX,VKO,UT558,UTair Aviation (UT/UTA),,02:30:00,9B,2,1,1,Boeing 737 (B73X),VQ-BAD,,,,,,
2012-03-08 12:16:00,SVO,GYD,SU1850,Aeroflot (SU/AFL),,02:23:00,7E,2,1,1,Airbus A320 (A320),VQ-BIV,,,,,,
2012-02-26 21:10:00,VIE,DME,OS605,Austrian Airlines (OS/AUA),,02:34:00,15F,1,1,1,Airbus A321 (A321),OE-LBA,,,,,,
2012-02-23 16:50:00,DME,VIE,OS602,Austrian Airlines (OS/AUA),,02:33:00,25F,1,1,1,Airbus A320 (A320),OE-LBN,,,,,,
2012-01-10 14:00:00,HKG,SVO,SU596,Aeroflot (SU/AFL),,10:40:00,23H,1,1,1,Boeing 767-300ER (B763),VP-BWU,,,,,,
2012-01-08 17:30:00,HKT,HKG,FD3924,Thai AirAsia (FD/AIQ),,02:23:00,18E,1,1,1,Airbus A320 (A320),HS-ABO,,,,,,
2011-12-25 20:25:00,HKG,HKT,FD3925,Thai AirAsia (FD/AIQ),,03:02:00,9E,1,1,1,Airbus A320 (A320),HS-ABL,,,,,,
2011-12-23 20:40:00,SVO,HKG,SU595,Aeroflot (SU/AFL),,10:03:00,18K,1,1,1,Airbus A330-300 (A333),VQ-BCQ,,,,,,
2011-11-06 14:36:00,DUS,DME,LH2992,Lufthansa (LH/DLH),,04:14:00,16A,1,1,1,Boeing 737 (B73X),D-ABXY,,,,,,
2011-11-03 21:46:00,DME,DUS,LH2993,Lufthansa (LH/DLH),,02:00:00,8F,1,1,1,Boeing 737 (B73X),D-ABII,,,,,,
2011-10-16 14:15:00,VVO,SVO,760,Aeroflot (SU/AFL),,08:55:00,21D,3,1,1,Boeing 767-300ER (B763),VP-BAX,,,,,,
2011-10-05 17:10:00,SVO,VVO,721,Aeroflot (SU/AFL),,08:25:00,12F,1,1,1,Boeing 767-300ER (B763),VP-BAV,,,,,,
2011-06-13 19:10:00,RIX,SVO,BT422,AirBaltic (BT/BTI),,01:32:00,15A,1,1,1,Boeing 757-200 (B752),YL-BDC,,,,,,
2011-06-11 09:05:00,SVO,RIX,BT425,AirBaltic (BT/BTI),,01:45:00,9F,1,1,1,Boeing 757-200 (B752),YL-BDC,,,,,,
2011-04-08 06:00:00,FRA,DME,LH1450,Lufthansa (LH/DLH),,03:10:00,,1,1,1,Airbus A320 (A320),D-AIQL,,,,,,
2011-04-08 01:20:00,FCO,FRA,LH233,Lufthansa (LH/DLH),,01:55:00,,1,1,1,Airbus A321 (A321),D-AISR,,,,,,
2011-03-28 11:05:00,MUC,VCE,LH1908,Lufthansa (LH/DLH),,01:05:00,,0,1,1,Airbus A320 (A320),D-AIPY,,,,,,
2011-03-28 05:50:00,DME,MUC,LH2531,Lufthansa (LH/DLH),,03:10:00,,1,1,1,Airbus A320 (A320),D-AIPY,,,,,,
2011-01-10 11:45:00,PVG,SVO,SU528,Aeroflot (SU/AFL),,10:05:00,,0,1,1,Airbus A330-200 (A332),VP-BLX,,,,,,
2011-01-08 06:50:00,XMN,PVG,MU2436,China Eastern Airlines (MU/CES),,01:40:00,,1,1,1,Airbus A320 (A320),,,,,,,
2010-12-30 08:05:00,SVO,PVG,SU527,Aeroflot (SU/AFL),,08:40:00,,1,1,1,Airbus A330-200 (A332),VQ-BBG,,,,,,
2010-11-07 10:00:00,DUS,DME,LH2990,Lufthansa (LH/DLH),,03:20:00,,0,1,1, (),,,,,,,
2010-11-04 04:10:00,DME,DUS,LH2991,Lufthansa (LH/DLH),,03:35:00,,0,1,1, (),,,,,,,
2010-09-25 10:35:00,MLA,DME,KM0560,Air Malta (KM/AMC),,04:00:00,,3,1,1, (),,,,,,,
2010-09-18 05:35:00,DME,MLA,KM0577,Air Malta (KM/AMC),,04:15:00,,3,1,1, (),,,,,,,
2010-03-08 07:00:00,KRR,VKO,183,Air Lines of Kuban (GW/KIL),,02:00:00,15D,3,1,1,Yakovlev Yak-42 (YK42),RA-42350,,,,,,
2010-03-06 10:05:00,DME,KRR,136,Air Lines of Kuban (GW/KIL),,02:00:00,15B,2,1,1,Yakovlev Yak-42 (YK42),RA-42406 G,,,,,,
2010-02-24 09:30:00,DUS,DME,AB8394,Air Berlin (AB/BER),,04:05:00,12F,1,1,1,Airbus A320 (A320),D-ALTH,,,,,,
2010-02-19 03:45:00,DME,DUS,AB8395,Air Berlin (AB/BER),,02:15:00,28F,1,1,1,Boeing 737 (B73X),D-ABBM,,,,,,
2009-08-28 12:55:00,SIP,KBP,WU918,Wizz Air Ukraine (WU/WAU),,01:25:00,,1,1,1,Airbus A320 (A320),,,,,,,
2009-08-09 08:45:00,KGD,VKO,XW 142,Sky Express (XW/SXR),,02:00:00,,0,1,1,Boeing 737 (B73X),,,,,,,
2009-08-07 21:30:00,VKO,KGD,XW 141,Sky Express (XW/SXR),,02:05:00,,0,1,1,Boeing 737 (B73X),VP-BOU,,,,,,
2009-07-28 10:15:00,DXB,DME,EK133,Emirates (EK/UAE),,05:10:00,45A,1,1,1,Boeing 777-300 (B773),A6-EMV,,,,,,
2009-07-27 11:55:00,PEK,DXB,EK307,Emirates (EK/UAE),,09:10:00,25A,1,1,1,Boeing 777-200LR (B77L),A6-EWF,,,,,,
2009-07-18 12:40:00,DME,DXB,EK132,Emirates (EK/UAE),,05:15:00,35K,1,1,1,Airbus A330-200 (A332),A6-EAO,,,,,,
2009-07-18 10:35:00,DXB,PVG,EK304,Emirates (EK/UAE),,08:50:00,38A,1,1,1,Airbus A340-300 (A343),A6-ERS,,,,,,
2008-12-14 03:47:00,LED,VKO,XW 102,Sky Express (XW/SXR),,01:01:00,19B,2,1,1,Boeing 737 (B73X),VP-BFJ,,most good - 20A,,,,
2008-11-17 05:10:00,RVI,VKO,XW 202,Sky Express (XW/SXR),,01:45:00,14E,2,1,1,Boeing 737 (B73X),VP-BOT,,,,,,
2008-11-14 07:15:00,VKO,KRR,S7 1147,S7 Airlines (S7/SBI),,02:05:00,13C,3,1,1,Airbus A310 (A310),,,,,,,
2008-08-02 00:00:00,OVB,DME,S7 176,S7 Airlines (S7/SBI),,03:36:00,,0,1,1,Airbus A310 (A310),,,,,,,
2008-06-29 04:00:00,AER,VKO,XW 234,Sky Express (XW/SXR),,02:35:00,,0,1,1,Boeing 737 (B73X),,,,,,,
2008-06-28 02:00:00,VKO,AER,XW 233,Sky Express (XW/SXR),,02:00:00,,0,1,1,Boeing 737 (B73X),,,,,,,
2008-06-13 12:40:00,VKO,LED,XW 101,Sky Express (XW/SXR),,01:10:00,,0,1,1,Boeing 737 (B73X),,,,,,,
2008-03-24 00:00:00,UFA,SVO,SU 0892,Aeroflot (SU/AFL),,01:49:00,,0,1,1,Boeing 737 (B73X),,,,,,,
2008-03-20 02:25:00,VKO,PEE,XW 323,Sky Express (XW/SXR),,02:15:00,,0,1,1,Boeing 737 (B73X),,,,,,,
2008-03-06 07:55:00,VKO,SVX,XW 301,Sky Express (XW/SXR),,02:05:00,,0,1,1,Boeing 737 (B73X),,,,,,,
2008-01-03 03:05:00,VKO,LED,XW 107,Sky Express (XW/SXR),,01:40:00,,0,1,1,Boeing 737 (B73X),,,,,,,
2007-11-26 08:45:00,KGD,VKO,XW 142,Sky Express (XW/SXR),,02:00:00,,0,1,1,Boeing 737 (B73X),,,,,,,
2007-11-25 06:30:00,VKO,KGD,XW 141,Sky Express (XW/SXR),,02:00:00,,0,1,1,Boeing 737 (B73X),,,,,,,
2007-05-18 00:00:00,BKA,GOJ,,Centre-Avia Airlines (J7/CVC),,00:54:00,,0,1,1,Yakovlev Yak-42 (YK42),,,,,,,
2006-09-05 09:00:00,DME,AYT,0,Orenair (R2/ORB),,03:00:00,,0,1,1,Boeing 737 (B73X),,,,,,,
1990-01-01 00:00:00,VKO,KGD,,Aeroflot (SU/AFL),,01:41:00,,1,1,1,Tupolev TU-154 (T154),,,,,,,
2014-07-13 22:27:00,SIP,SVO,QD107,Dobrolet Airlines (G2/DOB),,01:02:00,25E,3,1,1,Boeing 737 (B73X),VQ-BTG,,,,,,
2014-07-11 19:05:00,SVO,SIP,QD107,Dobrolet Airlines (G2/DOB),,02:02:00,29E,2,1,1,Boeing 737 (B73X),VQ-BTG,,,,,,
2014-06-22 22:54:00,KZN,SVO,SU1195,Aeroflot (SU/AFL),,01:03:00,12A,1,1,1,Sukhoi Superjet 100 (SU95),RA-89015,,,,,,
2013-01-11 09:45:00,USU,MNL,2P32,Air Philippines Corporation (2P/GAP),,00:51:00,,0,1,1,Bombardier Dash 8-400 (DH8D),,,,,,,
2013-01-08 13:50:00,MNL,USU,2P33,Air Philippines Corporation (2P/GAP),,00:55:00,,0,1,1,Bombardier Dash 8-400 (DH8D),,,,,,,
2011-10-06 19:00:00,VVO,FNJ,272,Air Koryo (JS/KOR),,01:40:00,9F,3,1,1,Tupolev TU-204 (T204),P-633,,,,,,
2011-07-31 12:35:00,KGD,SVO,AO206,Avianova (AO/NET),,01:45:00,16A,1,1,1,Boeing 737 (B73X),EI-ELN,,,,,,
2011-07-30 06:20:00,SVO,KGD,AO205,Avianova (AO/NET),,01:50:00,25F,1,1,1,Boeing 737 (B73X),EI-ELN,,,,,,
2010-11-21 09:00:00,AER,SVO,AO128,Avianova (AO/NET),,02:10:00,23A,1,1,1,Airbus A320 (A320),EI-ELE,,,,,,
2010-11-20 06:00:00,SVO,AER,AO127,Avianova (AO/NET),,02:10:00,22F,1,1,1,Airbus A320 (A320),EI-ELE,,,,,,
2010-10-31 09:20:00,ASF,SVO,AO164,Avianova (AO/NET),,02:05:00,15A,1,1,1,Airbus A320 (A320),,,,,,,
2010-10-30 09:00:00,SVO,VOG,AO481,Avianova (AO/NET),,01:20:00,22F,1,1,1,Airbus A320 (A320),EI-ELE,,,,,,
2010-08-08 06:00:00,KRR,SVO,AO138,Avianova (AO/NET),,02:10:00,19B,3,1,1,Airbus A320 (A320),EI-ELE,,,,,,
2010-07-04 12:10:00,GDZ,SVO,AO146,Avianova (AO/NET),,02:25:00,,1,1,1,Airbus A320 (A320),EI-EEL,,,,,,
2010-07-02 08:05:00,SVO,RVI,AO155,Avianova (AO/NET),,01:45:00,,1,1,1,Airbus A320 (A320),EI-EEI,,,,,,
